X,Q2,Stat_Error,Rel_Stat_Error,Apv_fixed,Apv_PDF,Uncor,corr,pdf_err
0.150,3.50,0.0000149514,0.0480338156,-0.0003112688,-0.0003087679,0.0028284271,0.0044721360,0.0000025534
0.250,3.50,0.0000036892,0.0119759668,-0.0003080469,-0.0003548944,0.0028284271,0.0044721360,0.0000026151
0.250,4.50,0.0000027769,0.0068858829,-0.0004032715,-0.0004245181,0.0028284271,0.0044721360,0.0000026672
0.250,5.50,0.0000257050,0.0520213490,-0.0004941237,-0.0004896642,0.0028284271,0.0044721360,0.0000028207
0.350,4.50,0.0000022916,0.0058190647,-0.0003938037,-0.0004602511,0.0028284271,0.0044721360,0.0000024722
0.350,5.50,0.0000018297,0.0037336360,-0.0004900559,-0.0005255045,0.0028284271,0.0044721360,0.0000025526
0.350,6.50,0.0000041258,0.0070457059,-0.0005855701,-0.0006059626,0.0028284271,0.0044721360,0.0000025971
0.450,5.50,0.0000026037,0.0054284263,-0.0004796367,-0.0005570570,0.0028284271,0.0044721360,0.0000020531
0.450,6.50,0.0000020749,0.0036025282,-0.0005759693,-0.0006199784,0.0028284271,0.0044721360,0.0000020942
0.450,7.50,0.0000031563,0.0046911266,-0.0006728176,-0.0007075061,0.0028284271,0.0044721360,0.0000022082
0.450,8.50,0.0000113596,0.0147871665,-0.0007682079,-0.0007837433,0.0028284271,0.0044721360,0.0000021617
0.550,6.50,0.0000036002,0.0063654811,-0.0005655872,-0.0006392388,0.0028284271,0.0044721360,0.0000015403
0.550,7.50,0.0000033264,0.0050264937,-0.0006617816,-0.0007077221,0.0028284271,0.0044721360,0.0000015633
0.550,8.50,0.0000040317,0.0053122705,-0.0007589342,-0.0008046153,0.0028284271,0.0044721360,0.0000017360
0.550,9.50,0.0000086958,0.0101608204,-0.0008558140,-0.0008853444,0.0028284271,0.0044721360,0.0000016631
0.650,7.50,0.0000059578,0.0091438933,-0.0006515649,-0.0007198027,0.0028284271,0.0044721360,0.0000010333
0.650,8.50,0.0000061382,0.0082109831,-0.0007475650,-0.0007970604,0.0028284271,0.0044721360,0.0000010917
0.650,9.50,0.0000066734,0.0079006666,-0.0008446665,-0.0009008816,0.0028284271,0.0044721360,0.0000012349
0.650,10.50,0.0000113283,0.0120250851,-0.0009420549,-0.0009829020,0.0028284271,0.0044721360,0.0000011541
0.750,8.50,0.0000167258,0.0226794565,-0.0007374847,-0.0007915837,0.0028284271,0.0044721360,0.0000006940
0.750,9.50,0.0000150490,0.0180600526,-0.0008332763,-0.0008929638,0.0028284271,0.0044721360,0.0000007480
0.750,10.50,0.0000153388,0.0164898865,-0.0009301925,-0.0009972689,0.0028284271,0.0044721360,0.0000008083
0.750,11.50,0.0000208749,0.0203129559,-0.0010276654,-0.0010762199,0.0028284271,0.0044721360,0.0000007384
