X,Q2,Stat_Error,Rel_Stat_Error,Apv_fixed,Apv_PDF,Uncor,corr,pdf_err
0.150,3.50,0.0000149514,0.0479975502,-0.0003115040,-0.0003105047,0.0028284271,0.0044721360,0.0000018804
0.250,3.50,0.0000036892,0.0119735628,-0.0003081087,-0.0003567906,0.0028284271,0.0044721360,0.0000021267
0.250,4.50,0.0000027769,0.0068891981,-0.0004030774,-0.0004262429,0.0028284271,0.0044721360,0.0000025577
0.250,5.50,0.0000257050,0.0520539829,-0.0004938139,-0.0004910302,0.0028284271,0.0044721360,0.0000030433
0.350,4.50,0.0000022916,0.0058408977,-0.0003923317,-0.0004612179,0.0028284271,0.0044721360,0.0000029262
0.350,5.50,0.0000018297,0.0037498344,-0.0004879390,-0.0005252240,0.0028284271,0.0044721360,0.0000034927
0.350,6.50,0.0000041258,0.0070790681,-0.0005828104,-0.0006036542,0.0028284271,0.0044721360,0.0000044314
0.450,5.50,0.0000026037,0.0054857497,-0.0004746247,-0.0005534453,0.0028284271,0.0044721360,0.0000045000
0.450,6.50,0.0000020749,0.0036439097,-0.0005694284,-0.0006143486,0.0028284271,0.0044721360,0.0000054381
0.450,7.50,0.0000031563,0.0047484312,-0.0006646980,-0.0006992167,0.0028284271,0.0044721360,0.0000068064
0.450,8.50,0.0000113596,0.0149747553,-0.0007585845,-0.0007721511,0.0028284271,0.0044721360,0.0000086156
0.550,6.50,0.0000036002,0.0064734038,-0.0005561579,-0.0006298974,0.0028284271,0.0044721360,0.0000076638
0.550,7.50,0.0000033264,0.0051185459,-0.0006498801,-0.0006958874,0.0028284271,0.0044721360,0.0000094217
0.550,8.50,0.0000040317,0.0054156639,-0.0007444450,-0.0007896533,0.0028284271,0.0044721360,0.0000112454
0.550,9.50,0.0000086958,0.0103674911,-0.0008387537,-0.0008662279,0.0028284271,0.0044721360,0.0000143151
0.650,7.50,0.0000059578,0.0093633640,-0.0006362927,-0.0007039372,0.0028284271,0.0044721360,0.0000135049
0.650,8.50,0.0000061382,0.0084224258,-0.0007287975,-0.0007777623,0.0028284271,0.0044721360,0.0000156634
0.650,9.50,0.0000066734,0.0081163482,-0.0008222205,-0.0008771313,0.0028284271,0.0044721360,0.0000180763
0.650,10.50,0.0000113283,0.0123688434,-0.0009158730,-0.0009529192,0.0028284271,0.0044721360,0.0000216829
0.750,8.50,0.0000167258,0.0234609033,-0.0007129203,-0.0007668799,0.0028284271,0.0044721360,0.0000189191
0.750,9.50,0.0000150490,0.0187235588,-0.0008037475,-0.0008620819,0.0028284271,0.0044721360,0.0000220939
0.750,10.50,0.0000153388,0.0171300267,-0.0008954317,-0.0009596412,0.0028284271,0.0044721360,0.0000254416
0.750,11.50,0.0000208749,0.0211384524,-0.0009875332,-0.0010297855,0.0028284271,0.0044721360,0.0000300916
